iter	Passed	Remaining
356	712	1283
357	714	1280
358	716	1278
359	718	1276
360	720	1275
361	722	1273
362	723	1270
363	725	1267
364	727	1265
365	729	1263
366	731	1262
367	734	1261
368	735	1258
369	737	1255
370	739	1253
371	740	1250
372	741	1246
373	743	1244
374	744	1241
375	746	1238
376	748	1236
377	750	1234
378	752	1232
379	753	1229
380	755	1227
381	757	1224
382	758	1221
383	760	1219
384	761	1216
385	763	1215
386	766	1213
387	767	1210
388	769	1208
389	770	1205
390	772	1203
391	774	1200
392	775	1198
393	777	1195
394	779	1193
395	781	1192
396	783	1189
397	784	1187
398	786	1185
399	788	1182
400	790	1180
401	791	1177
402	793	1175
403	795	1173
404	797	1171
405	799	1169
406	800	1166
407	802	1164
408	804	1162
409	805	1159
410	807	1156
411	808	1154
412	811	1153
413	813	1151
414	814	1148
415	816	1146
416	818	1143
417	819	1141
418	821	1138
419	822	1136
420	824	1134
421	827	1132
422	829	1131
423	830	1128
424	832	1126
425	833	1123
426	835	1121
427	837	1118
428	838	1116
429	840	1113
430	842	1112
431	844	1110
432	846	1107
433	847	1105
434	849	1103
435	851	1100
436	852	1098
437	854	1096
438	855	1093
439	858	1092
440	860	1090
441	862	1088
442	863	1086
443	865	1083
444	867	1081
445	868	1079
446	870	1076
447	873	1075
448	874	1073
449	876	1071
450	878	1068
451	879	1066
452	881	1064
453	882	1061
454	884	1059
455	886	1057
456	889	1056
457	890	1054
458	892	1051
459	893	1049
460	895	1047
461	897	1044
462	898	1042
463	900	1039
464	902	1038
465	904	1036
466	906	1034
467	908	1032
468	909	1029
469	911	1027
470	912	1025
471	914	1022
472	915	1020
473	917	1018
474	920	1017
475	921	1014
476	923	1012
477	925	1010
478	926	1008
479	928	1005
480	929	1003
481	931	1001
482	934	999
483	936	997
484	937	995
485	939	993
486	941	991
487	942	988
488	944	986
489	945	984
490	947	982
491	950	981
492	952	979
493	953	977
494	955	974
495	957	972
496	959	970
497	960	968
498	962	966
499	964	964
500	966	962
501	968	960
502	969	957
503	970	955
504	972	953
505	974	951
506	975	948
507	977	946
508	980	945
509	981	943
510	983	940
511	984	938
512	986	936
513	988	934
514	989	932
515	991	929
516	993	927
517	995	926
518	997	924
519	999	922
520	1000	920
521	1002	917
522	1003	915
523	1005	913
524	1007	911
525	1008	909
526	1011	907
527	1012	905
528	1014	903
529	1016	901
530	1018	899
531	1020	897
532	1021	895
533	1023	892
534	1025	891
535	1027	889
536	1029	887
537	1030	885
538	1032	883
539	1034	881
540	1036	878
541	1037	876
542	1039	875
543	1042	873
544	1044	871
545	1045	869
546	1047	867
547	1049	865
548	1050	863
549	1052	861
550	1054	858
551	1056	857
552	1058	855
553	1059	853
554	1061	851
555	1063	849
556	1065	847
557	1066	844
558	1068	842
559	1070	841
560	1073	839
561	1074	837
562	1076	835
563	1078	833
564	1080	831
565	1081	829
566	1083	827
567	1085	825
568	1087	824
569	1089	822
570	1091	820
571	1093	818
572	1094	815
573	1096	813
574	1098	811
575	1099	809
576	1105	810
577	1107	808
578	1109	806
579	1110	804
580	1112	802
581	1114	800
582	1116	798
583	1118	796
584	1120	794
585	1122	792
586	1123	790
587	1125	788
588	1127	786
589	1128	784
590	1130	782
591	1134	781
592	1136	780
593	1138	778
594	1140	776
595	1141	774
596	1143	772
597	1145	770
598	1147	767
599	1150	766
600	1152	764
601	1153	762
602	1155	760
603	1157	758
604	1159	756
605	1160	754
606	1162	752
607	1165	751
608	1166	749
609	1168	747
610	1170	745
611	1172	743
612	1173	741
613	1175	738
614	1177	736
615	1179	735
616	1181	733
617	1182	731
618	1184	729
619	1186	727
620	1188	725
621	1189	723
622	1191	721
623	1193	719
624	1195	717
625	1197	715
626	1199	713
627	1200	711
628	1202	709
629	1204	707
630	1206	705
631	1207	703
632	1210	701
633	1212	699
634	1213	697
635	1215	695
636	1217	693
637	1218	691
638	1220	689
639	1222	687
640	1224	685
641	1226	684
642	1228	682
643	1231	680
644	1233	678
645	1234	676
646	1236	674
647	1238	672
648	1240	670
649	1242	669
650	1244	667
651	1246	665
652	1248	663
653	1249	661
654	1251	659
655	1252	657
656	1255	655
657	1257	653
658	1259	651
659	1261	649
660	1262	647
661	1264	645
662	1266	643
663	1267	641
664	1269	639
665	1272	637
666	1273	635
667	1275	633
668	1277	631
669	1278	629
670	1280	627
671	1282	625
672	1283	623
673	1286	622
674	1288	620
675	1289	618
676	1291	616
677	1293	614
678	1294	612
679	1296	610
680	1298	608
681	1300	606
682	1302	604
683	1304	602
684	1306	600
685	1308	598
686	1309	596
687	1311	594
688	1313	592
689	1314	590
690	1318	589
691	1319	587
692	1321	585
693	1323	583
694	1324	581
695	1326	579
696	1328	577
697	1329	575
698	1332	573
699	1334	571
700	1336	569
701	1338	568
702	1340	566
703	1342	564
704	1343	562
705	1345	560
706	1348	558
707	1350	556
708	1351	554
709	1353	552
710	1355	550
711	1357	548
712	1358	546
713	1360	544
714	1362	543
715	1364	541
716	1366	539
717	1368	537
718	1369	535
719	1371	533
720	1373	531
721	1375	529
722	1377	527
723	1379	525
724	1381	523
725	1382	521
726	1384	519
727	1386	517
728	1387	515
729	1389	513
730	1394	513
731	1397	511
732	1399	509
733	1401	507
734	1403	506
735	1405	504
736	1408	502
737	1411	501
738	1413	499
739	1415	497
740	1418	495
741	1420	493
742	1422	492
743	1425	490
744	1428	488
745	1430	487
746	1432	485
747	1434	483
748	1436	481
749	1439	479
750	1442	478
751	1444	476
752	1446	474
753	1449	473
754	1451	471
755	1454	469
756	1456	467
757	1458	465
758	1460	463
759	1464	462
760	1466	460
761	1470	459
762	1472	457
763	1475	455
764	1478	454
765	1480	452
766	1482	450
767	1484	448
768	1486	446
769	1489	444
770	1491	442
771	1494	441
772	1496	439
773	1498	437
774	1501	435
775	1503	433
776	1505	432
777	1507	430
778	1510	428
779	1513	426
780	1515	424
781	1517	422
782	1518	420
783	1520	418
784	1522	416
785	1525	415
786	1526	413
787	1528	411
788	1530	409
789	1532	407
790	1533	405
791	1535	403
792	1537	401
793	1539	399
794	1541	397
795	1543	395
796	1545	393
797	1546	391
798	1548	389
799	1550	387
800	1551	385
801	1554	383
802	1556	381
803	1557	379
804	1559	377
805	1561	375
806	1562	373
807	1564	371
808	1566	369
809	1569	368
810	1571	366
811	1572	364
812	1574	362
813	1576	360
814	1577	358
815	1579	356
816	1581	354
817	1582	352
818	1585	350
819	1587	348
820	1588	346
821	1590	344
822	1592	342
823	1593	340
824	1595	338
825	1597	336
826	1600	334
827	1602	332
828	1604	330
829	1605	328
830	1607	326
831	1609	324
832	1610	322
833	1612	320
834	1615	319
835	1617	317
836	1618	315
837	1620	313
838	1622	311
839	1623	309
840	1625	307
841	1626	305
842	1628	303
843	1631	301
844	1633	299
845	1635	297
846	1636	295
847	1638	293
848	1640	291
849	1642	289
850	1643	287
851	1646	285
852	1648	284
853	1649	282
854	1651	280
855	1653	278
856	1654	276
857	1656	274
858	1658	272
859	1660	270
860	1663	268
861	1664	266
862	1666	264
863	1668	262
864	1670	260
865	1671	258
866	1673	256
867	1675	254
868	1677	252
869	1679	250
870	1681	248
871	1682	247
872	1684	245
873	1686	243
874	1688	241
875	1689	239
876	1691	237
877	1694	235
878	1696	233
879	1697	231
880	1699	229
881	1701	227
882	1702	225
883	1704	223
884	1706	221
885	1708	219
886	1710	217
887	1711	215
888	1713	213
889	1715	212
890	1717	210
891	1718	208
892	1720	206
893	1723	204
894	1725	202
895	1726	200
896	1728	198
897	1730	196
898	1731	194
899	1733	192
900	1735	190
901	1737	188
902	1739	186
903	1740	184
904	1742	182
905	1744	180
906	1746	179
907	1747	177
908	1749	175
909	1751	173
910	1753	171
911	1755	169
912	1756	167
913	1758	165
914	1760	163
915	1761	161
916	1763	159
917	1765	157
918	1766	155
919	1769	153
920	1771	151
921	1773	150
922	1774	148
923	1776	146
924	1778	144
925	1780	142
926	1781	140
927	1784	138
928	1786	136
929	1787	134
930	1789	132
931	1791	130
932	1793	128
933	1794	126
934	1796	124
935	1798	122
936	1801	121
937	1802	119
938	1804	117
939	1839	117
940	1843	115
941	1845	113
942	1847	111
943	1851	109
944	1854	107
945	1856	105
946	1858	104
947	1859	102
948	1861	100
949	1864	98
950	1866	96
951	1868	94
952	1869	92
953	1871	90
954	1873	88
955	1874	86
956	1876	84
957	1878	82
958	1880	80
959	1882	78
960	1884	76
961	1885	74
962	1887	72
963	1889	70
964	1890	68
965	1892	66
966	1895	64
967	1896	62
968	1898	60
969	1900	58
970	1902	56
971	1903	54
972	1905	52
973	1906	50
974	1909	48
975	1911	47
976	1913	45
977	1914	43
978	1916	41
979	1918	39
980	1919	37
981	1921	35
982	1923	33
983	1926	31
984	1927	29
985	1929	27
986	1931	25
987	1932	23
988	1934	21
989	1935	19
990	1937	17
991	1940	15
992	1941	13
993	1943	11
994	1945	9
995	1946	7
996	1948	5
997	1950	3
998	1951	1
999	1953	0
